Name,ID,2016,2012,2008,2004,2000
成都市,5101,65957.42105,43066.42105,30855,18052,13020
自贡市,5103,45162.16667,32631.5,17348,6432,4825
攀枝花市,5104,71191,50255,37277,15569,11184
泸州市,5105,33389.85714,22651.71429,11831,4634,3578
德阳市,5106,47600.83333,33640.66667,19084,9344,6889
绵阳市,5107,31496.44444,22729.66667,15012,7574,6122
广元市,5108,21946.42857,15611.42857,8557,3425,2857
遂宁市,5109,27253.4,18054,10467,4246,3169
内江市,5110,35064.4,25083.6,12309,4761,3454
乐山市,5111,41885.09091,29742.27273,16737,6208,4226
南充市,5113,23734.33333,16322,9687,3496,2492
眉山市,5114,35917.33333,24141.5,13691,5113,3678
宜宾市,5115,31156.4,22332.6,14489,5665,3963
广安市,5116,35710.5,41175.33333,10862,3950,2901
达州市,5117,25199.42857,19598.85714,10580,4084,3040
雅安市,5118,35456.875,25245.125,14051,6564,4949
巴中市,5119,14846.8,26873.2,6806,3051,2438
资阳市,5120,36215.5,23184.25,11068,3986,2924
阿坝州,5132,27879.53846,17822.07692,8459,6137,4288
甘孜州,5133,17839.94444,13053.5,9640,3904,2797
凉山州,5134,22617.76471,17953.58824,12896,4900,3630